utilidad, promedio_productos_Almacén, promedio_productos_Verdurería, promedio_productos_Panadería, promedio_productos_Refrigerados, tiempo_espera_Almacén, tiempo_espera_Verdurería, tiempo_espera_Panadería, tiempo_espera_Refrigerados, tiempo_balanza_Verdurería, tiempo_balanza_Panadería,tiempo_caja_Autoservicio, tiempo_caja_Normal, tiempo_caja_Preferencial, tiempo_permanencia_Normal,tiempo_permanencia_Preferencial
11803890.387502, 8737.510009, 843.021648, 808.080721, 2470.002392, 0.000461, 0.933379, 0.727994, 0.189092, 0.327517, 0.386325, 3.693682, 7.419443, 7.353229, 47.003476, 42.381055
11901028.261572, 8582.598343, 946.786088, 680.602696, 2262.806804, 0.031402, 0.243519, 0.536394, 0.165035, 0.260548, 0.244062, 3.247219, 6.866000, 6.655991, 43.782963, 41.856445
11820694.046111, 7743.172264, 1009.030023, 796.495592, 2183.927323, 0.000036, 0.136286, 0.039550, 0.031466, 0.257532, 0.198295, 2.099966, 5.212674, 5.007963, 42.689831, 40.248510
12232691.247686, 8747.002824, 974.562454, 678.716611, 2114.099684, 0.000000, 0.531660, 0.082688, 0.035518, 0.293473, 0.413110, 3.416242, 7.906659, 8.722455, 45.413690, 44.109063
12133173.102474, 8579.893044, 1080.336482, 824.943343, 2359.837351, 0.000000, 0.584306, 0.167049, 0.013587, 0.288715, 0.322528, 7.086172, 15.289042, 14.699599, 51.473996, 45.398928
11738460.364094, 8382.565787, 821.889299, 786.122396, 2285.845426, 0.000136, 0.170120, 0.268656, 0.070054, 0.196925, 0.228587, 4.826999, 9.225609, 11.782110, 46.708053, 42.441037
11582012.558339, 8839.176320, 985.281302, 760.812594, 2480.378833, 0.000000, 0.135894, 0.051902, 0.068336, 0.237774, 0.243267, 2.080944, 5.318528, 4.851657, 42.664104, 41.996701
11765071.924391, 8390.003744, 974.498889, 672.053696, 2288.281147, 0.001560, 0.099118, 0.166400, 0.069751, 0.209164, 0.248961, 3.650270, 7.946665, 7.995299, 45.953932, 44.778468
11958975.444634, 8624.802402, 1116.784639, 830.343478, 2312.789024, 0.000000, 0.133122, 0.082238, 0.056967, 0.246296, 0.256070, 3.068637, 7.176992, 7.820553, 44.720488, 44.252400
11873647.164356, 7740.413203, 790.039904, 840.707201, 2252.892458, 0.000000, 0.030153, 0.045955, 0.082688, 0.159466, 0.204662, 2.223514, 5.469679, 5.799759, 43.437649, 43.227723
11730492.674665, 8796.600853, 872.571980, 633.841677, 2084.519940, 0.000000, 0.139668, 0.086840, 0.143779, 0.231579, 0.167724, 3.580415, 8.080501, 8.494326, 45.623960, 43.971697
12106858.273343, 8757.110877, 1082.059404, 743.378994, 2221.414760, 0.000000, 0.819901, 0.125077, 0.073301, 0.395643, 0.236862, 4.970223, 10.578176, 10.686382, 48.417552, 43.295048
12020503.929671, 8973.715022, 1030.182743, 779.015153, 2248.244543, 0.000000, 0.298574, 0.064136, 0.057182, 0.318471, 0.171056, 4.075224, 8.949784, 9.434743, 46.513806, 40.645343
12051107.504121, 8562.014842, 997.966144, 615.849707, 2404.878363, 0.000000, 0.498055, 0.178116, 0.097636, 0.421889, 0.228272, 2.954193, 6.547337, 7.459676, 44.330970, 43.055502
11916069.400262, 8596.535926, 997.569125, 813.407885, 2432.603565, 0.004736, 0.865662, 0.109701, 0.072755, 0.298146, 0.230837, 5.707370, 11.405346, 13.550851, 48.930104, 44.010187
